Name,SegmentTitle,FamilyTitle,ClassTitle,BrickTitle
Kräutertee Fenchel-Anis-Kümmel,Food/Beverage,Beverages,Tea and Infusions/Tisanes,Tea - Bags/Loose
Kernige Haferflocken,Food/Beverage,Cereal/Grain/Pulse Products,Processed Cereal Products,Cereals Products - Not Ready to Eat (Shelf Stable)
Hojiblanca,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Kinder Bueno,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Thunfisch,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed,Fish - Prepared/Processed (Perishable)
"Haltbare Schlagsahne, ultrahocherhitzt, 30% Fett",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cream/Cream Substitutes,Cream (Perishable)
Knusperriegel,Food/Beverage,Cereal/Grain/Pulse Products,Processed Cereal Products,Cereal/Muesli Bars
Allgäuer Art Schmelzscheiben,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese/Cheese Substitutes,Cheese (Perishable)
Kochbeutel Reis,Food/Beverage,Cereal/Grain/Pulse Products,Grains/Flour,Grains/Cereal - Not Ready to Eat - (Shelf Stable)
Kartoffel-Cremesuppe,Food/Beverage,Prepared/Preserved Foods,Prepared Soups,Soups - Prepared (Shelf Stable)
Puder Zucker,Food/Beverage,Confectionery/Sugar Sweetening Products,Sugars/Sugar Substitute Products,Sugar/Sugar Substitutes (Shelf Stable)
Apfelchips,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Fruit - Prepared/Processed,Fruit - Prepared/Processed (Shelf Stable)
Kalifornische Pistazien,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Nudel-Schinken Gratin,Food/Beverage,Seasonings/Preservatives/Extracts,Herbs/Spices/Extracts,Extracts/Seasonings/Flavour Enhancers (Shelf Stable)
Geschnetzeltes Züricher Art,Food/Beverage,Seasonings/Preservatives/Extracts,Herbs/Spices/Extracts,Extracts/Seasonings/Flavour Enhancers (Shelf Stable)
Tomaten Suppe,Food/Beverage,Prepared/Preserved Foods,Prepared Soups,Soups - Prepared (Shelf Stable)
Zwiebelsuppe,Food/Beverage,Prepared/Preserved Foods,Prepared Soups,Soups - Prepared (Shelf Stable)
Rindfleischsuppe,Food/Beverage,Prepared/Preserved Foods,Prepared Soups,Soups - Prepared (Shelf Stable)
Obst Riegel,Food/Beverage,Cereal/Grain/Pulse Products,Processed Cereal Products,Cereal/Muesli Bars
Knoppers Kokosriegel,Food/Beverage,Bread/Bakery Products,Biscuits/Cookies,Biscuits/Cookies (Shelf Stable)
Maggi Würze,Food/Beverage,Seasonings/Preservatives/Extracts,Herbs/Spices/Extracts,Herbs/Spices (Shelf Stable)
The White Edition,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Stimulants/Energy Drinks - Ready to Drink
Tomatenmark,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Perishable)
Senf,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Mustard (Shelf Stable)
Schokobons,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Honig cremig,Food/Beverage,Prepared/Preserved Foods,Sweet Spreads,Honey (Shelf Stable)
Schwarzkirsche,Food/Beverage,Prepared/Preserved Foods,Sweet Spreads,Jams/Marmalades (Shelf Stable)
Rotwein Essig,Food/Beverage,Seasonings/Preservatives/Extracts,Vinegars/Cooking Wines,Vinegars
Erdbeere Konfitüre,Food/Beverage,Prepared/Preserved Foods,Sweet Spreads,Jams/Marmalades (Shelf Stable)
Premium Weissbier Naturtrüb,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Beer
Mamia Bio Erdbeere in Apfel-Banane,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
Mamia Bio Birne pur,Food/Beverage,Prepared/Preserved Foods,Baby/Infant - Foods/Beverages,Baby/Infant - Specialised Foods (Shelf Stable)
Himbeere,Food/Beverage,Prepared/Preserved Foods,Sweet Spreads,Jams/Marmalades (Shelf Stable)
Marokkanische Minze-Honig,Food/Beverage,Beverages,Tea and Infusions/Tisanes,Tea - Bags/Loose
Gelier Zucker,Food/Beverage,Bread/Bakery Products,Baking/Cooking Mixes/Supplies,Baking/Cooking Supplies (Shelf Stable)
Wald Honig,Food/Beverage,Prepared/Preserved Foods,Sweet Spreads,Honey (Shelf Stable)
Rote Bete Saft,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Vegetable Juice - Ready to Drink (Shelf Stable)
Merci,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
m&m’s Peanut,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Caramel,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Klassiker Spaghetti,Food/Beverage,Prepared/Preserved Foods,Ready-Made Combination Meals,Ready-Made Combination Meals - Not Ready to Eat (Shelf Stable)
Thomy Les Sauces Hollandaise,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Sauces - Cooking (Shelf Stable)
Apfelmus,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Fruit - Prepared/Processed,Fruit - Prepared/Processed (Shelf Stable)
Klassiker Pasta Sauce Tomate,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Sauces - Cooking (Shelf Stable)
Tomaten-Rahmsuppe,Food/Beverage,Prepared/Preserved Foods,Prepared Soups,Soups - Prepared (Shelf Stable)
Hard Seltzer Typ Natural Lime,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Alcoholic Pre-mixed Drinks
Energy Drink,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Stimulants/Energy Drinks - Ready to Drink
Cornflakes,Food/Beverage,Cereal/Grain/Pulse Products,Processed Cereal Products,Cereals Products - Ready to Eat (Shelf Stable)
süßer Apfel Früchtetee,Food/Beverage,Beverages,Tea and Infusions/Tisanes,Tea - Bags/Loose
Coca-Cola Zero Sugar,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Drinks Flavoured - Ready to Drink
Cola Zero,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Drinks Flavoured - Ready to Drink
Haselnusskerne,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Zarte Heferflocken,Food/Beverage,Cereal/Grain/Pulse Products,Processed Cereal Products,Cereals Products - Not Ready to Eat (Shelf Stable)
Kräutertee Salbei,Food/Beverage,Beverages,Tea and Infusions/Tisanes,Tea - Bags/Loose
Kräutertee Kamille-Fenchel,Food/Beverage,Beverages,Tea and Infusions/Tisanes,Tea - Bags/Loose
Kondensmilch,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs
Aprikose Konfitüre,Food/Beverage,Prepared/Preserved Foods,Sweet Spreads,Jams/Marmalades (Shelf Stable)
Energy Drink,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Stimulants/Energy Drinks - Ready to Drink
Energy Drink Cucumber Limette Minze7,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Stimulants/Energy Drinks - Ready to Drink
Kombucha Grüntee-Getränk mit Ingwer Zitrone,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Drinks Flavoured - Ready to Drink
Bio Limonade mit Orangengeschmack,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Drinks Flavoured - Ready to Drink
iso light grapefruit-citrus,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Drinks Flavoured - Ready to Drink
Activ kalorienarmes Erfrischungsgetränk mit Pfirsich-Melonengeschmack,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Drinks Flavoured - Ready to Drink
Kalinka Kefir,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Dairy Based Drinks - Ready to Drink (Perishable)
Frucht Butter Milch Summer Vibes Tropical Kiss,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Dairy Based Drinks - Ready to Drink (Perishable)
Frucht Butter Milch Summer Vibes Mango Tango,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Dairy Based Drinks - Ready to Drink (Perishable)
Reine Butter Milch,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Dairy Based Drinks - Ready to Drink (Perishable)
Frucht Butter Milch Multivitamin,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Dairy Based Drinks - Ready to Drink (Perishable)
Berglinsen,Food/Beverage,Cereal/Grain/Pulse Products,Grains/Flour,Flour - Cereal/Pulse (Shelf Stable)
Steinofen Flammkuchen,Food/Beverage,Bread/Bakery Products,Savoury Bakery Products,Pies/Pastries/Pizzas/Quiches - Savoury (Frozen)
Tempranillo Bio,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Wine - Still
Vanille Milch,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes,Milk (Perishable)
Deutsche Markenbutter,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Butter/Butter Substitutes,Butter (Perishable)
"Joghurt 1,5 % Fett",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes,Yogurt (Perishable)
"Joghurt 3,8 % Fett",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes,Yogurt (Perishable)
Joghurt auf Heidelbeeren,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes,Yogurt (Perishable)
YES,Food/Beverage,Bread/Bakery Products,Sweet Bakery Products,Cakes - Sweet (Shelf Stable)
Crème Fraîche 30 % Fett,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs
Almighurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes,Yogurt (Perishable)
Speisequark 40 % Fett,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Dairy Derivatives/By Products,Dairy By-Products
Joghurt mit der Ecke,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes,Yogurt (Perishable)
Sahne Joghurt Balance,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes,Yogurt (Perishable)
Joghurt auf Pfirsich-Maracuja,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes,Yogurt (Perishable)
Stichfester Joghurt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes,Yogurt (Perishable)
Knoppers,Food/Beverage,Bread/Bakery Products,Biscuits/Cookies,Biscuits/Cookies (Shelf Stable)
Dunkle Weiße alkoholfrei,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Beer
Wok-Keimlinge,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Micro Vegetables,Seedlings - Ready to Eat
Kräuter Flüssigwürze,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Sauces - Cooking (Shelf Stable)
Pils,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Beer
Berglinsen,Food/Beverage,Cereal/Grain/Pulse Products,Grains/Flour,Flour - Cereal/Pulse (Shelf Stable)
Blütenhonig,Food/Beverage,Prepared/Preserved Foods,Sweet Spreads,Honey (Shelf Stable)
Premium Cornichons,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Cucumbers,Gherkins
Integrale Spaghetti n.5,Food/Beverage,Prepared/Preserved Foods,Pasta/Noodles,Pasta/Noodles - Ready to Eat (Shelf Stable)
Weizenmehl Type 405,Food/Beverage,Cereal/Grain/Pulse Products,Grains/Flour,Flour - Cereal/Pulse (Shelf Stable)
Quinoa weiß,Food/Beverage,Cereal/Grain/Pulse Products,Grains/Flour,Grains/Cereal - Not Ready to Eat - (Shelf Stable)
Beluga Linsen,Food/Beverage,Cereal/Grain/Pulse Products,Grains/Flour,Flour - Cereal/Pulse (Shelf Stable)
Datteln,Food/Beverage,Fruits - Unprepared/Unprocessed (Fresh),Miscellaneous Fruit,Dates
Ingwer-Zitrone Kräutertee,Food/Beverage,Beverages,Tea and Infusions/Tisanes,Tea - Bags/Loose
Grüner Tee,Food/Beverage,Beverages,Tea and Infusions/Tisanes,Tea - Bags/Loose
Leibniz Butterkeks 30 % weniger Zucker,Food/Beverage,Bread/Bakery Products,Biscuits/Cookies,Biscuits/Cookies (Shelf Stable)
Karlsberg Urpils,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Beer
Original Münchner Hell,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Beer
Warsteiner Winter,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Beer
Premium Weissbier Kristallklar,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Beer
Natürliches Mineralwasser Medium,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Packaged Water - Unflavoured
Zero Ice Tea Peach,Food/Beverage,Beverages,Tea and Infusions/Tisanes,Tea - Liquid/Ready to Drink
Konjak Nudeln,Food/Beverage,Prepared/Preserved Foods,Pasta/Noodles,Pasta/Noodles - Ready to Eat (Shelf Stable)
Thunfischfilets,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed,Fish - Prepared/Processed (Perishable)
Rote Linsen,Food/Beverage,Cereal/Grain/Pulse Products,Cereal/Grain/Pulse Products Variety Packs,Cereal/Grain/Pulse Products Variety Packs
Stangenspargel weiß,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Stem Vegetables,Asparagus
Edamame Bohnen,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Beans (With Pods),Broad Beans
Schoko-Chunks Zartbitter,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Erdmandel naturell,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Kokosöl nativ,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Aronia Saft,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit Juice Drinks - Ready to Drink (Shelf Stable)
Knorr Schaschlik Sauce,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Shelf Stable)
Wallnuskerne,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Kürbiskerne,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Gemüsezwiebel,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Bulb Vegetables,Onions
Rote Bete,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Root/Tuber Vegetables,Beetroot
"Äpfel, Braeburn 4er Pack",Food/Beverage,Fruits - Unprepared/Unprocessed (Fresh),Pome Fruits,Apples
Erdnüsse,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Zedernüsse,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Leinsamen,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Haselnusskerne,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Basilikum,Food/Beverage,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Grünkohl,Food/Beverage,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Gartenerbsen,Food/Beverage,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Blattspinat,Food/Beverage,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Schnittlauch,Food/Beverage,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Grapefruit,Food/Beverage,Fruits - Unprepared/Unprocessed (Fresh),Citrus,Grapefruits
Zucchini,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Cucurbits - Edible Peel,Courgettes
Aprikosen,Food/Beverage,Fruits - Unprepared/Unprocessed (Fresh),Stone Fruit,Apricots
"Kartoffeln, vorwiegend-festkochend",Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Root/Tuber Vegetables,Potatoes
Minipaprikas,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Peppers,Pepper Variety Packs
